Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. lanatus	SRR17043511	passes the trimming step	used for transcript reconstruction	24642333/24642333	63.0235%	ISR
C. lanatus	SRR17043512	passes the trimming step	used for transcript reconstruction	24153612/24153612	64.0551%	ISR
C. lanatus	SRR17043513	passes the trimming step	used for transcript reconstruction	24241297/24241297	64.9025%	ISR
C. lanatus	SRR17043514	passes the trimming step	used for transcript reconstruction	23112875/23112875	66.3923%	ISR
C. lanatus	SRR17043515	passes the trimming step	used for transcript reconstruction	23085881/23085881	59.7783%	ISR
C. lanatus	SRR17043516	passes the trimming step	used for transcript reconstruction	23835333/23835333	59.254%	ISR
C. lanatus	SRR17043517	passes the trimming step	used for transcript reconstruction	23484913/23484913	61.3235%	ISR
C. lanatus	SRR17043518	passes the trimming step	used for transcript reconstruction	24882507/24882507	63.7977%	ISR
C. lanatus	SRR17043519	passes the trimming step	used for transcript reconstruction	24622736/24622736	64.7292%	ISR
C. lanatus	SRR17043520	passes the trimming step	used for transcript reconstruction	23526637/23526637	64.9902%	ISR
C. lanatus	SRR17043521	passes the trimming step	used for transcript reconstruction	24543000/24543000	65.2112%	ISR
C. lanatus	SRR17043522	passes the trimming step	used for transcript reconstruction	23585812/23585812	65.6001%	ISR
C. lanatus	SRR17043523	passes the trimming step	used for transcript reconstruction	24049131/24049131	64.9376%	ISR
C. lanatus	SRR17043524	passes the trimming step	used for transcript reconstruction	24232623/24232623	62.6954%	ISR
C. lanatus	SRR17043525	passes the trimming step	used for transcript reconstruction	24226552/24226552	64.9549%	ISR
C. lanatus	SRR17043526	passes the trimming step	used for transcript reconstruction	23693513/23693513	63.0286%	ISR
C. lanatus	SRR17043527	passes the trimming step	used for transcript reconstruction	22893676/22893676	61.3457%	ISR
C. lanatus	SRR17043528	passes the trimming step	used for transcript reconstruction	24196467/24196467	64.7466%	ISR
C. lanatus	SRR17043529	passes the trimming step	used for transcript reconstruction	23694813/23694813	64.8706%	ISR
C. lanatus	SRR17043530	passes the trimming step	used for transcript reconstruction	23820809/23820809	65.1431%	ISR
C. lanatus	SRR17043531	passes the trimming step	used for transcript reconstruction	24016597/24016597	65.4017%	ISR
C. lanatus	SRR17043532	passes the trimming step	used for transcript reconstruction	23302620/23302620	65.6985%	ISR
C. lanatus	SRR17043533	passes the trimming step	used for transcript reconstruction	23838690/23838690	65.7716%	ISR
C. lanatus	SRR1724899	passes the trimming step	used for transcript reconstruction	39257448	65.3618%	SR
C. lanatus	SRR1724900	passes the trimming step	used for transcript reconstruction	34949188	64.8964%	SR
C. lanatus	SRR1724901	passes the trimming step	used for transcript reconstruction	46504223	67.5562%	SR
C. lanatus	SRR1724902	passes the trimming step	used for transcript reconstruction	22835450	57.2398%	SR
C. lanatus	SRR1724903	passes the trimming step	used for transcript reconstruction	28438988	52.6975%	SR
C. lanatus	SRR1724943	passes the trimming step	used for transcript reconstruction	32524256	59.6345%	SR
C. lanatus	SRR17434161	passes the trimming step	not used for transcript reconstruction	21845221/21845221	57.6253%	IU
C. lanatus	SRR17434162	passes the trimming step	not used for transcript reconstruction	24120691/24120691	58.7114%	IU
C. lanatus	SRR17434163	passes the trimming step	not used for transcript reconstruction	20692527/20692527	59.3704%	IU
C. lanatus	SRR17434164	passes the trimming step	not used for transcript reconstruction	22525103/22525103	51.5012%	IU
C. lanatus	SRR17434165	passes the trimming step	not used for transcript reconstruction	20442023/20442023	49.1179%	IU
C. lanatus	SRR17434166	passes the trimming step	not used for transcript reconstruction	20505785/20505785	46.0543%	IU
C. lanatus	SRR2033940	passes the trimming step	used for transcript reconstruction	9063616/9063616	45.2167%	ISR
C. lanatus	SRR2033941	passes the trimming step	used for transcript reconstruction	10600036/10600036	42.4665%	ISR
C. lanatus	SRR2033942	passes the trimming step	used for transcript reconstruction	9475023/9475023	43.031%	ISR
C. lanatus	SRR2033943	passes the trimming step	used for transcript reconstruction	9514697/9514697	37.3995%	ISR
C. lanatus	SRR3156477	passes the trimming step	used for transcript reconstruction	91423157/91423157	63.0709%	ISR
C. lanatus	SRR3156478	passes the trimming step	used for transcript reconstruction	106615047/106615047	64.383%	ISR
C. lanatus	SRR3156479	passes the trimming step	used for transcript reconstruction	82058417/82058417	43.7487%	ISR
C. lanatus	SRR3156480	passes the trimming step	used for transcript reconstruction	81321908/81321908	59.4393%	ISR
C. lanatus	SRR3156481	passes the trimming step	used for transcript reconstruction	113083089/113083089	63.9797%	ISR
C. lanatus	SRR3156482	passes the trimming step	used for transcript reconstruction	65209801/65209801	42.9738%	ISR
C. lanatus	SRR3156483	passes the trimming step	used for transcript reconstruction	87682344/87682344	61.9865%	ISR
C. lanatus	SRR3156484	passes the trimming step	used for transcript reconstruction	93147440/93147440	65.1135%	ISR
C. lanatus	SRR3156485	passes the trimming step	used for transcript reconstruction	67183187/67183187	40.1045%	ISR
C. lanatus	SRR3156486	passes the trimming step	used for transcript reconstruction	81216069/81216069	59.6124%	ISR
C. lanatus	SRR3156487	passes the trimming step	used for transcript reconstruction	75782389/75782389	65.4392%	ISR
C. lanatus	SRR3156488	passes the trimming step	used for transcript reconstruction	66360318/66360318	53.1187%	ISR
C. lanatus	SRR3156501	passes the trimming step	used for transcript reconstruction	84183877/84183877	59.0082%	ISR
C. lanatus	SRR3156502	passes the trimming step	used for transcript reconstruction	56464486/56464486	59.5679%	ISR
C. lanatus	SRR3156503	passes the trimming step	used for transcript reconstruction	78922455/78922455	41.6707%	ISR
C. lanatus	SRR3156504	passes the trimming step	used for transcript reconstruction	81312688/81312688	62.099%	ISR
C. lanatus	SRR3156505	passes the trimming step	used for transcript reconstruction	89597771/89597771	60.53%	ISR
C. lanatus	SRR3156506	passes the trimming step	used for transcript reconstruction	58183107/58183107	41.5751%	ISR
C. lanatus	SRR3156549	passes the trimming step	used for transcript reconstruction	20870300/20870300	59.695%	ISR
C. lanatus	SRR3156550	passes the trimming step	used for transcript reconstruction	18559838/18559838	61.6043%	ISR
C. lanatus	SRR3156551	passes the trimming step	used for transcript reconstruction	20441575/20441575	61.7255%	ISR
C. lanatus	SRR3156552	passes the trimming step	used for transcript reconstruction	19401423/19401423	59.9597%	ISR
C. lanatus	SRR3156553	passes the trimming step	used for transcript reconstruction	15964312/15964312	55.6234%	ISR
C. lanatus	SRR3156554	passes the trimming step	used for transcript reconstruction	16515550/16515550	54.6008%	ISR
C. lanatus	SRR3156555	passes the trimming step	used for transcript reconstruction	17839927/17839927	52.2058%	ISR
C. lanatus	SRR3156556	passes the trimming step	used for transcript reconstruction	14310409/14310409	49.4295%	ISR
C. lanatus	SRR3156557	passes the trimming step	used for transcript reconstruction	18699767/18699767	58.903%	ISR
